序号,综合评价,排名
1116,0.4148,1164
2903,0.4147,1165
3586,0.4147,1166
4132,0.4147,1167
1264,0.4145,1168
2110,0.4145,1169
791,0.4143,1170
2361,0.4143,1171
769,0.4141,1172
2210,0.4139,1173
4792,0.4137,1174
618,0.4134,1175
2664,0.4129,1176
871,0.4128,1177
2642,0.4128,1178
2899,0.4125,1179
2724,0.4125,1180
2627,0.4123,1181
1037,0.4123,1182
2726,0.4123,1183
3476,0.4123,1184
574,0.4123,1185
2318,0.4122,1186
3975,0.4122,1187
510,0.4120,1188
130,0.4120,1189
2085,0.4116,1190
222,0.4115,1191
2706,0.4114,1192
2808,0.4113,1193
2972,0.4112,1194
2938,0.4109,1195
2698,0.4106,1196
2356,0.4105,1197
266,0.4104,1198
4235,0.4103,1199
3143,0.4103,1200
40,0.4103,1201
277,0.4103,1202
1859,0.4102,1203
2177,0.4101,1204
5414,0.4099,1205
811,0.4097,1206
3884,0.4094,1207
2568,0.4090,1208
1628,0.4089,1209
4820,0.4085,1210
1798,0.4082,1211
2102,0.4081,1212
891,0.4079,1213
4420,0.4078,1214
4933,0.4078,1215
3617,0.4077,1216
2582,0.4076,1217
3140,0.4076,1218
4373,0.4074,1219
3821,0.4074,1220
4383,0.4073,1221
1006,0.4073,1222
179,0.4073,1223
1159,0.4072,1224
2232,0.4070,1225
2945,0.4070,1226
1796,0.4069,1227
2464,0.4069,1228
4082,0.4065,1229
2954,0.4065,1230
5249,0.4065,1231
3483,0.4064,1232
1562,0.4064,1233
3596,0.4064,1234
3818,0.4063,1235
423,0.4059,1236
2923,0.4059,1237
3257,0.4058,1238
3492,0.4058,1239
1740,0.4057,1240
836,0.4053,1241
628,0.4052,1242
2197,0.4052,1243
4739,0.4050,1244
4756,0.4047,1245
4280,0.4047,1246
3150,0.4046,1247
4183,0.4046,1248
3075,0.4043,1249
2087,0.4041,1250
5195,0.4040,1251
2865,0.4040,1252
4864,0.4040,1253
4632,0.4039,1254
27,0.4037,1255
2310,0.4035,1256
3752,0.4035,1257
3147,0.4035,1258
258,0.4034,1259
4364,0.4033,1260
5142,0.4033,1261
122,0.4033,1262
4992,0.4032,1263
2040,0.4031,1264
4897,0.4030,1265
4444,0.4030,1266
1131,0.4028,1267
4084,0.4028,1268
269,0.4027,1269
1446,0.4026,1270
5178,0.4024,1271
4856,0.4023,1272
2835,0.4022,1273
459,0.4020,1274
1174,0.4019,1275
4188,0.4019,1276
363,0.4018,1277
4863,0.4016,1278
3949,0.4015,1279
1055,0.4013,1280
1778,0.4012,1281
142,0.4009,1282
3939,0.4008,1283
3447,0.4008,1284
4011,0.4006,1285
4471,0.4000,1286
5230,0.3998,1287
4848,0.3998,1288
3246,0.3996,1289
314,0.3992,1290
4806,0.3990,1291
865,0.3989,1292
1737,0.3989,1293
5147,0.3987,1294
1533,0.3987,1295
2790,0.3987,1296
3707,0.3986,1297
2347,0.3985,1298
4783,0.3984,1299
1224,0.3984,1300
1103,0.3981,1301
4030,0.3979,1302
3593,0.3977,1303
4541,0.3977,1304
1185,0.3977,1305
632,0.3974,1306
4590,0.3970,1307
1049,0.3968,1308
2637,0.3968,1309
2633,0.3967,1310
806,0.3966,1311
409,0.3965,1312
1894,0.3964,1313
899,0.3964,1314
68,0.3963,1315
286,0.3963,1316
2072,0.3961,1317
1387,0.3960,1318
4698,0.3960,1319
2427,0.3959,1320
4436,0.3958,1321
2345,0.3957,1322
2392,0.3956,1323
2034,0.3956,1324
4353,0.3956,1325
4425,0.3953,1326
1165,0.3953,1327
4276,0.3952,1328
4299,0.3951,1329
2712,0.3951,1330
4920,0.3950,1331
2547,0.3950,1332
503,0.3947,1333
1622,0.3946,1334
81,0.3944,1335
1506,0.3943,1336
5335,0.3942,1337
3004,0.3941,1338
1144,0.3938,1339
2980,0.3937,1340
4626,0.3935,1341
1269,0.3934,1342
1527,0.3928,1343
2873,0.3926,1344
11,0.3926,1345
4769,0.3926,1346
4974,0.3926,1347
2998,0.3926,1348
3249,0.3924,1349
138,0.3922,1350
4105,0.3921,1351
4480,0.3919,1352
513,0.3919,1353
4025,0.3918,1354
822,0.3917,1355
5368,0.3915,1356
5225,0.3915,1357
2794,0.3914,1358
1883,0.3912,1359
2895,0.3911,1360
451,0.3909,1361
2504,0.3909,1362
4735,0.3907,1363
1381,0.3907,1364
198,0.3907,1365
3278,0.3906,1366
2432,0.3906,1367
346,0.3902,1368
3221,0.3902,1369
4206,0.3899,1370
4786,0.3899,1371
1605,0.3898,1372
784,0.3896,1373
4174,0.3895,1374
1453,0.3894,1375
2556,0.3892,1376
529,0.3892,1377
2877,0.3890,1378
1390,0.3887,1379
3753,0.3886,1380
1199,0.3883,1381
